Timestamp, Temperature[�C], Humidity[%]
2023_07_18_10_50_54, 25.96, 64.02
2023_07_18_10_50_56, 25.95, 64.05
2023_07_18_10_50_58, 25.94, 64.10
2023_07_18_10_51_00, 25.95, 64.15
2023_07_18_10_51_02, 25.96, 64.21
2023_07_18_10_51_04, 25.95, 64.21
2023_07_18_10_51_06, 25.98, 64.22
2023_07_18_10_51_08, 26.02, 64.20
2023_07_18_10_51_10, 25.98, 64.18
2023_07_18_10_51_12, 25.99, 64.16
2023_07_18_10_51_14, 26.04, 64.16
2023_07_18_10_51_16, 26.05, 64.06
2023_07_18_10_51_18, 26.05, 64.07
2023_07_18_10_51_20, 26.05, 63.99
2023_07_18_10_51_22, 26.02, 64.05
2023_07_18_10_51_24, 26.04, 64.07
2023_07_18_10_51_26, 26.08, 64.10
2023_07_18_10_51_28, 26.09, 64.54
2023_07_18_10_51_30, 26.12, 64.43
2023_07_18_10_51_32, 26.09, 64.21
2023_07_18_10_51_34, 26.14, 64.08
2023_07_18_10_51_36, 26.15, 64.00
2023_07_18_10_51_38, 26.11, 63.88
2023_07_18_10_51_41, 26.05, 63.89
2023_07_18_10_51_43, 25.98, 63.78
2023_07_18_10_51_45, 25.92, 63.95
2023_07_18_10_51_47, 25.91, 64.08
2023_07_18_10_51_49, 25.87, 64.16
2023_07_18_10_51_51, 25.88, 64.17
2023_07_18_10_51_53, 25.87, 64.30
2023_07_18_10_51_55, 25.88, 64.32
2023_07_18_10_51_57, 25.91, 64.28
2023_07_18_10_51_59, 25.88, 64.27
2023_07_18_10_52_01, 25.89, 64.26
2023_07_18_10_52_03, 25.87, 64.26
2023_07_18_10_52_05, 25.87, 64.16
2023_07_18_10_52_07, 25.89, 64.11
2023_07_18_10_52_09, 25.87, 64.04
2023_07_18_10_52_11, 25.87, 64.10
2023_07_18_10_52_13, 25.85, 64.23
2023_07_18_10_52_15, 25.85, 64.34
2023_07_18_10_52_17, 25.84, 64.44
2023_07_18_10_52_19, 25.89, 64.45
2023_07_18_10_52_21, 25.92, 64.43
2023_07_18_10_52_23, 25.95, 64.41
2023_07_18_10_52_25, 25.96, 64.33
2023_07_18_10_52_27, 25.99, 64.19
2023_07_18_10_52_29, 26.01, 64.14
2023_07_18_10_52_31, 26.01, 64.05
2023_07_18_10_52_33, 26.06, 64.03
2023_07_18_10_52_35, 26.08, 63.94
2023_07_18_10_52_37, 26.08, 63.97
2023_07_18_10_52_39, 26.04, 63.99
2023_07_18_10_52_41, 26.05, 64.00
2023_07_18_10_52_43, 26.09, 64.49
2023_07_18_10_52_45, 26.09, 64.51
2023_07_18_10_52_47, 26.14, 64.37
2023_07_18_10_52_49, 26.14, 64.25
2023_07_18_10_52_51, 26.15, 64.08
2023_07_18_10_52_54, 26.12, 63.95
2023_07_18_10_52_56, 26.12, 63.88
2023_07_18_10_52_58, 26.12, 63.85
2023_07_18_10_53_00, 26.15, 63.83
2023_07_18_10_53_02, 26.14, 63.80
2023_07_18_10_53_04, 26.16, 63.81
2023_07_18_10_53_06, 26.14, 63.83
2023_07_18_10_53_08, 26.19, 63.78
2023_07_18_10_53_10, 26.25, 63.71
2023_07_18_10_53_12, 26.24, 63.72
2023_07_18_10_53_14, 26.19, 63.69
2023_07_18_10_53_16, 26.21, 63.62
2023_07_18_10_53_18, 26.22, 63.65
2023_07_18_10_53_20, 26.19, 63.65
2023_07_18_10_53_22, 26.18, 63.67
2023_07_18_10_53_24, 26.21, 63.72
2023_07_18_10_53_26, 26.24, 63.70
2023_07_18_10_53_28, 26.25, 63.65
2023_07_18_10_53_30, 26.25, 63.62
2023_07_18_10_53_32, 26.25, 63.63
2023_07_18_10_53_34, 26.21, 63.61
2023_07_18_10_53_36, 26.19, 63.65
2023_07_18_10_53_38, 26.22, 63.70
2023_07_18_10_53_40, 26.22, 63.67
2023_07_18_10_53_42, 26.21, 63.64
2023_07_18_10_53_44, 26.26, 63.60
2023_07_18_10_53_46, 26.26, 63.55
2023_07_18_10_53_48, 26.26, 63.54
2023_07_18_10_53_50, 26.24, 63.55
2023_07_18_10_53_52, 26.21, 63.58
2023_07_18_10_53_54, 26.19, 63.62
2023_07_18_10_53_56, 26.18, 63.71
2023_07_18_10_53_58, 26.16, 63.77
2023_07_18_10_54_00, 26.15, 63.83
2023_07_18_10_54_02, 26.16, 63.82
2023_07_18_10_54_04, 26.18, 63.85
2023_07_18_10_54_06, 26.14, 63.85
2023_07_18_10_54_08, 26.14, 63.90
2023_07_18_10_54_10, 26.12, 63.94
2023_07_18_10_54_13, 26.15, 63.99
2023_07_18_10_54_15, 26.21, 63.99
2023_07_18_10_54_17, 26.25, 63.88
2023_07_18_10_54_19, 26.29, 63.81
2023_07_18_10_54_21, 26.34, 63.69
2023_07_18_10_54_23, 26.36, 63.54
2023_07_18_10_54_25, 26.42, 63.43
2023_07_18_10_54_27, 26.40, 63.34
2023_07_18_10_54_29, 26.34, 63.29
2023_07_18_10_54_31, 26.31, 63.36
2023_07_18_10_54_33, 26.28, 63.42
2023_07_18_10_54_35, 26.26, 63.52
2023_07_18_10_54_37, 26.19, 63.53
2023_07_18_10_54_39, 26.19, 63.63
2023_07_18_10_54_41, 26.21, 63.73
2023_07_18_10_54_43, 26.16, 63.78
2023_07_18_10_54_45, 26.16, 63.85
2023_07_18_10_54_47, 26.15, 63.88
2023_07_18_10_54_49, 26.11, 63.98
2023_07_18_10_54_51, 26.09, 64.02
2023_07_18_10_54_53, 26.02, 64.06
2023_07_18_10_54_55, 25.95, 64.13
2023_07_18_10_54_57, 25.92, 64.19
2023_07_18_10_54_59, 25.89, 64.34
2023_07_18_10_55_01, 25.89, 64.45
2023_07_18_10_55_03, 25.92, 64.51
2023_07_18_10_55_05, 25.98, 64.67
2023_07_18_10_55_07, 25.94, 64.66
2023_07_18_10_55_09, 25.98, 64.61
2023_07_18_10_55_11, 26.01, 64.67
2023_07_18_10_55_13, 26.02, 64.66
2023_07_18_10_55_15, 26.01, 64.52
2023_07_18_10_55_17, 26.02, 64.52
2023_07_18_10_55_19, 26.01, 64.38
2023_07_18_10_55_21, 26.02, 64.42
2023_07_18_10_55_23, 25.98, 64.39
2023_07_18_10_55_25, 25.99, 64.41
2023_07_18_10_55_28, 26.01, 64.55
2023_07_18_10_55_30, 26.04, 64.60
2023_07_18_10_55_32, 26.04, 64.48
2023_07_18_10_55_34, 26.05, 64.40
2023_07_18_10_55_36, 26.14, 64.40
2023_07_18_10_55_38, 26.19, 64.45
2023_07_18_10_55_40, 26.21, 64.76
2023_07_18_10_55_42, 26.21, 64.59
2023_07_18_10_55_44, 26.18, 64.29
2023_07_18_10_55_46, 26.18, 64.17
2023_07_18_10_55_48, 26.19, 64.07
2023_07_18_10_55_50, 26.16, 64.01
2023_07_18_10_55_52, 26.14, 63.97
2023_07_18_10_55_54, 26.15, 64.02
2023_07_18_10_55_56, 26.18, 64.00
2023_07_18_10_55_58, 26.16, 63.92
2023_07_18_10_56_00, 26.14, 63.92
2023_07_18_10_56_02, 26.15, 63.91
2023_07_18_10_56_04, 26.16, 63.86
2023_07_18_10_56_06, 26.18, 63.72
2023_07_18_10_56_08, 26.18, 63.77
2023_07_18_10_56_10, 26.14, 63.65
2023_07_18_10_56_12, 26.02, 63.67
2023_07_18_10_56_14, 26.01, 63.82
2023_07_18_10_56_16, 25.96, 63.90
2023_07_18_10_56_18, 25.94, 64.03
2023_07_18_10_56_20, 25.94, 64.07
2023_07_18_10_56_22, 25.94, 64.10
2023_07_18_10_56_24, 25.94, 64.16
2023_07_18_10_56_26, 25.91, 64.20
2023_07_18_10_56_28, 25.89, 64.33
2023_07_18_10_56_30, 25.84, 64.47
2023_07_18_10_56_32, 25.83, 64.54
2023_07_18_10_56_34, 25.78, 64.72
